Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-07-21 08:00:25,false,"Bath and North East Somerset Running","15.83","1,030","01:42:18","176","188","4.4","169","240","6:28","4:31","176","248","0.91","9.6","8.7","268","50.7% L / 49.3% R","0.0","NaN","NaN","NaN","NaN","NaN","--","21.0","No","00:04:53.2","16","29.0","34","17","41","01:40:13","02:02:12","15","186"
Indoor Cycling,2024-07-17 20:59:15,false,"Indoor Cycling","0.00","58","00:20:06","88","124","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","NaN","--","21.0","No","00:20:06","1","28.0","17","17","17","00:00:00","00:20:06","--","--"
Indoor Cycling,2024-07-17 17:59:00,false,"Indoor Cycling","0.00","427","00:45:58","145","182","3.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","NaN","--","26.0","No","00:45:58","1","29.0","32","18","43","00:00:00","00:45:58","--","--"
Cycling,2024-07-17 17:32:09,false,"Bath and North East Somerset Cycling","4.75","131","00:20:13","117","145","1.1","--","--","14.1","36.6","40","43","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","NaN","--","27.0","No","00:20:13","1","30.0","--","--","--","00:18:22","00:20:13","25","51"
Cycling,2024-07-17 11:34:19,false,"Bath and North East Somerset Cycling","4.12","103","00:18:21","108","141","0.5","--","--","13.5","28.7","79","47","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","NaN","--","25.0","No","00:18:21","1","30.0","--","--","--","00:17:31","03:00:05","26","53"
Running,2024-07-16 18:37:07,false,"Bath and North East Somerset Running","4.75","287","00:37:30","138","169","2.3","138","255","7:53","3:55","50","110","0.93","9.1","8.1","290","50.0% L / 50.0% R","0.0","NaN","NaN","NaN","NaN","NaN","--","23.0","No","00:05:50.6","5","31.0","26","16","34","00:30:21","00:39:24","23","50"
Running,2024-07-14 08:14:53,false,"Bath and North East Somerset Running","8.79","527","00:54:05","155","170","3.3","172","192","6:09","5:02","65","76","0.94","8.8","8.3","263","50.6% L / 49.4% R","0.0","NaN","NaN","NaN","NaN","NaN","--","22.0","No","00:04:31.6","9","28.0","26","16","35","00:52:48","01:15:26","12","37"
Cycling,2024-07-13 15:40:51,false,"Bath and North East Somerset Cycling","3.85","61","00:15:47","113","123","0.2","--","--","14.6","27.5","37","25","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","NaN","--","23.0","No","00:15:47","1","29.0","18","18","18","00:15:36","00:15:48","41","65"
Other,2024-07-13 12:42:45,false,"Bath and North East Somerset - gym finishers","0.69","19","00:10:22","81","114","0.0","12","121","4.0","60.7","7","1","1.42","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","NaN","--","29.0","No","00:00:10","37","30.0","15","11","19","00:01:16","00:10:22","28","35"
HIIT,2024-07-13 12:30:24,false,"gym-core and glutes. ankle safe","0.00","47","00:11:40","101","127","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","208","15","28.0","No","00:11:40","1","29.0","20","16","24","00:07:30","00:11:40","--","--"
Strength Training,2024-07-13 11:57:19,false,"main session - lower","0.00","97","00:30:07","97","148","0.5","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","160","18","27.0","No","00:30:07","1","28.0","17","11","29","00:15:25","00:30:07","--","--"
Cardio,2024-07-13 11:39:50,false,"gym warm-up lower","0.00","82","00:11:41","128","152","0.8","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","54","21","28.0","No","00:11:41","1","28.0","23","18","30","00:07:00","00:11:41","--","--"
HIIT,2024-07-13 11:21:07,false,"gym hiit","0.00","147","00:16:00","147","173","2.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","325","18","27.0","No","00:16:00","1","28.0","29","19","37","00:09:00","00:16:00","--","--"
Cardio,2024-07-13 11:09:17,false,"Running drills with hurdles","0.00","79","00:07:51.9","151","169","1.7","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","79","15","28.0","No","00:07:51.9","1","28.0","29","21","37","00:05:00","00:07:51.9","--","--"
Cycling,2024-07-13 10:47:28,false,"Bath and North East Somerset Cycling","3.88","118","00:13:41","135","164","1.8","--","--","17.0","38.7","48","53","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","NaN","NaN","NaN","--","25.0","No","00:13:41","1","30.0","26","20","32","00:12:42","00:13:41","30","51"
