Date,Protein,Carb,Fibre,Sugar,Fat,Weight,Period,Calories_In,Calories_Out
13/05/2024,,,,,,65,NP,,
12/05/2024,122,275,52,69,155,65.6,NP,2960,1264
11/05/2024,118,283,21,67,125,64.7,NP,3142,340
10/05/2024,132,288,50,62,130,64.4,NP,2829,1246
09/05/2024,113,235,43,94,95,64.8,NP,2194,979
08/05/2024,118,212,35,68,102,65.2,NP,2211,607
07/05/2024,103,186,19,71,93,66.2,NP,2003,734
06/05/2024,,,,,,,NP,,200
05/05/2024,,,,,,,NP,,264
04/05/2024,,,,,,66,P,,687
03/05/2024,137,359,46,83,131,65.1,P,3141,697
02/05/2024,104,211,19,39,57,,P,1750,562
01/05/2024,89,282,20,53,82,66.1,NP,2063,691
30/04/2024,136,339,38,63,114,64.9,NP,2907,730
29/04/2024,154,413,43,80,148,65.1,NP,3491,832
28/04/2024,84,252,21,69,57,64.8,NP,1808,571
27/04/2024,,,,,,,NP,,724
26/04/2024,,,,,,,NP,,673
25/04/2024,,,,,,,NP,,114
24/04/2024,,,,,,,NP,,288
23/04/2024,45,154,27,33,55,64.4,NP,1257,709
22/04/2024,60,285,31,90,57,65.1,NP,2034,316
21/04/2024,124,282,29,50,84,64.5,NP,2324,999
20/04/2024,76,160,27,54,39,65.1,NP,1322,317
19/04/2024,141,526,45,133,128,63.7,NP,3703,843
18/04/2024,107,244,28,49,58,64.3,O,1852,641
17/04/2024,187,285,47,32,89,63.2,NP,2507,757
16/04/2024,108,253,36,43,76,64,NP,2053,774
15/04/2024,140,260,34,46,88,64.2,NP,2201,393
14/04/2024,141,235,29,43,85,65,NP,2267,1445
13/04/2024,101,241,30,74,90,65.2,NP,2163,470
12/04/2024,84,265,39,57,127,64.2,NP,2846,413
11/04/2024,87,272,36,89,80,64.5,NP,2153,343
10/04/2024,78,252,28,65,74,64.1,NP,2078,706
09/04/2024,86,225,35,55,82,64.5,NP,1940,731
08/04/2024,64,228,23,72,73,65.2,NP,1764,533
07/04/2024,75,224,38,60,99,65.3,NP,1993,881
06/04/2024,100,234,27,46,102,66.1,NP,2190,262
